id,user,uid,version,changeset,timestamp
4077020,MFlamm,617875,8,25940336,2014-10-08T14:24:47Z
4272809,Marc Mongenet,74847,27,40464295,2016-07-03T18:54:30Z
4272827,Marc Mongenet,74847,12,36303445,2016-01-01T18:24:44Z
4272831,SOSM,1842422,10,38614983,2016-04-16T09:21:27Z
4272833,Marc Mongenet,74847,6,36274817,2015-12-31T02:02:49Z
4272835,Hermann001,1965631,22,40271959,2016-06-24T21:20:14Z
4272836,Marc Mongenet,74847,6,27035298,2014-11-26T00:54:47Z
4272837,eeejul,3257973,24,37080446,2016-02-08T14:11:20Z
4272838,x-pab,120583,10,13076182,2012-09-11T22:13:00Z
4272839,MFlamm,617875,15,30754112,2015-05-03T17:18:33Z
4272842,Alex-7,667422,16,34246470,2015-09-25T15:12:41Z
4272843,MFlamm,617875,7,32307816,2015-06-30T13:13:51Z
4272844,MFlamm,617875,13,32307816,2015-06-30T13:13:51Z
4272845,Marc Mongenet,74847,16,31519171,2015-05-28T01:08:58Z
4272848,MFlamm,617875,23,30742657,2015-05-03T09:48:58Z
4272850,MFlamm,617875,18,22089181,2014-05-02T16:43:24Z
4272851,MFlamm,617875,16,32307816,2015-06-30T13:13:51Z
4272854,MFlamm,617875,11,22089181,2014-05-02T16:43:30Z
4272855,MFlamm,617875,15,33733430,2015-09-01T17:16:44Z
4272856,Marc Mongenet,74847,15,36230650,2015-12-28T22:15:40Z
4272861,Marc Mongenet,74847,22,36303445,2016-01-01T18:24:39Z
4272863,Marc Mongenet,74847,19,27034805,2014-11-26T00:16:18Z
4272864,MFlamm,617875,19,21641915,2014-04-12T08:19:58Z
4272865,Marc Mongenet,74847,23,36308576,2016-01-01T23:36:42Z
4272866,Marc Mongenet,74847,23,36308576,2016-01-01T23:36:42Z
4272867,MFlamm,617875,15,21630060,2014-04-11T16:30:12Z
4272868,Marc Mongenet,74847,12,36223393,2015-12-28T16:30:27Z
4272870,Jonathan Masur,2965963,16,39805471,2016-06-04T21:11:25Z
4272871,Marc Mongenet,74847,11,36223393,2015-12-28T16:30:30Z
4705190,Marc Mongenet,74847,6,5737071,2010-09-09T22:22:39Z
5032101,Marc Mongenet,74847,36,35992303,2015-12-16T16:28:15Z
5032357,MFlamm,617875,16,21726181,2014-04-16T09:25:29Z
5032359,MFlamm,617875,8,22209380,2014-05-08T13:32:37Z
5032360,eeejul,3257973,19,36992932,2016-02-04T08:59:29Z
5032398,MFlamm,617875,18,33734469,2015-09-01T17:58:09Z
5032400,MFlamm,617875,20,21727479,2014-04-16T10:52:56Z
5032401,Marc Mongenet,74847,22,36393709,2016-01-05T23:48:01Z
5032402,Marc Mongenet,74847,13,36393709,2016-01-05T23:48:00Z
5070016,Marc Mongenet,74847,14,40461618,2016-07-03T16:22:07Z
5070017,AlexandreKraft,2256404,13,36880967,2016-01-29T14:54:16Z
5070018,Marc Mongenet,74847,28,40464295,2016-07-03T18:54:32Z
5070019,Marc Mongenet,74847,16,40461690,2016-07-03T16:25:52Z
5070020,locneu,1886699,8,20023008,2014-01-15T21:26:08Z
5070021,MFlamm,617875,10,22080818,2014-05-02T10:02:55Z
5070213,Marc Mongenet,74847,9,36488236,2016-01-10T18:06:19Z
5070214,MFlamm,617875,9,22271540,2014-05-11T13:53:37Z
5070215,jb_b,3781564,19,38523001,2016-04-13T11:55:36Z
5070216,MFlamm,617875,12,22085808,2014-05-02T14:10:18Z
5070218,donovaly,1730904,18,18358655,2013-10-14T20:54:38Z
5070219,Marc Mongenet,74847,11,35992303,2015-12-16T16:28:15Z
5070220,MFlamm,617875,13,25940336,2014-10-08T14:24:43Z
5070221,eeejul,3257973,10,37081509,2016-02-08T15:01:23Z
5070222,Marc Mongenet,74847,20,36304335,2016-01-01T19:06:55Z
5070224,Marc Mongenet,74847,19,36304335,2016-01-01T19:06:56Z
5070227,Marc Mongenet,74847,16,36304335,2016-01-01T19:06:55Z
5070228,Marc Mongenet,74847,7,27034847,2014-11-26T00:20:18Z
5070229,MFlamm,617875,7,22085808,2014-05-02T14:10:19Z
5070230,locneu,1886699,8,21954844,2014-04-26T13:53:40Z
5070233,MFlamm,617875,8,22147841,2014-05-05T14:28:13Z
