id,key,value,type
4077020,highway,residential,regular
4077020,lanes,3,regular
4077020,lit,yes,regular
4077020,maxspeed,30,regular
4077020,name,Rue du 31-Décembre,regular
4272809,right,lane,cycleway
4272809,highway,primary,regular
4272809,lanes,2,regular
4272809,name,Boulevard Georges-Favon,regular
4272809,oneway,yes,regular
4272827,highway,residential,regular
4272827,name,Rue du Vieux-Billard,regular
4272827,oneway,yes,regular
4272831,leisure,park,regular
4272831,name,Parc Jardin Anglais,regular
4272831,zh,英国公园,name
4272831,wikipedia,fr:Jardin anglais (Genève),regular
4272833,cycleway,opposite,regular
4272833,highway,residential,regular
4272833,maxspeed,30,regular
4272833,name,Rue du Lac,regular
4272833,oneway,yes,regular
4272835,highway,primary,regular
4272835,lanes,6,regular
4272835,lit,yes,regular
4272835,maxspeed,50,regular
4272835,name,Quai Général-Guisan,regular
4272835,ref,102,regular
4272836,leisure,park,regular
4272837,highway,unclassified,regular
4272837,lanes,2,regular
4272837,psv,1,lanes
4272837,name,Rue du Rhône,regular
4272837,oneway,yes,regular
4272837,trolley_wire,yes,regular
4272838,highway,tertiary,regular
4272838,name,Rue Lombard,regular
4272838,oneway,yes,regular
4272839,highway,residential,regular
4272839,name,Rue Michel-Servet,regular
4272842,leisure,park,regular
4272842,name,Parc Bertrand,regular
4272842,wikipedia,fr:Parc Bertrand,regular
4272843,landuse,construction,regular
4272844,cycleway,opposite,regular
4272844,highway,residential,regular
4272844,maxspeed,30,regular
4272844,name,Avenue Dumas,regular
4272844,note,Situation temporaire pendant chantier CEVA,regular
4272844,oneway,yes,regular
4272845,right,lane,cycleway
4272845,highway,tertiary,regular
4272845,maxspeed,50,regular
4272845,name,Avenue Cardinal-Mermillod,regular
4272845,oneway,yes,regular
4272848,bicycle,yes,regular
4272848,cycleway,lane,regular
4272848,highway,tertiary,regular
4272848,maxspeed,50,regular
4272848,name,Rue de la Fontenette,regular
4272850,highway,tertiary,regular
4272850,name,Avenue de la Roseraie,regular
4272851,cycleway,lane,regular
4272851,highway,tertiary,regular
4272851,lanes,2,regular
4272851,psv,1,lanes
4272851,name,Avenue de Champel,regular
4272851,oneway,yes,regular
4272851,trolley_wire,yes,regular
4272854,highway,residential,regular
4272854,name,Rue de Carouge,regular
4272854,oneway,yes,regular
4272855,left,lane,cycleway
4272855,highway,residential,regular
4272855,maxspeed,30,regular
4272855,name,Rue des Battoirs,regular
4272856,highway,residential,regular
4272856,name,Place des Vingt-Trois-Cantons,regular
4272856,oneway,yes,regular
4272861,highway,primary,regular
4272861,lanes,2,regular
4272861,lit,yes,regular
4272861,name,Avenue du Mail,regular
4272861,oneway,yes,regular
4272863,highway,tertiary,regular
4272863,name,Quai de la Poste,regular
4272863,oneway,yes,regular
4272864,electrified,contact_line,regular
4272864,frequency,0,regular
4272864,gauge,1000,regular
4272864,highway,primary,regular
4272864,lanes,4,regular
4272864,psv:backward,1,lanes
4272864,psv:forward,1,lanes
4272864,lit,yes,regular
4272864,name,Boulevard James-Fazy,regular
4272864,railway,tram,regular
4272864,voltage,600,regular
4272865,highway,unclassified,regular
4272865,lit,yes,regular
4272865,name,Ponts de l'Île,regular
4272865,oneway,no,regular
4272865,psv,yes,regular
4272865,trolley_wire,yes,regular
4272866,access,no,regular
4272866,bridge,yes,regular
4272866,foot,yes,regular
4272866,highway,unclassified,regular
4272866,layer,1,regular
4272866,name,Ponts-de-l'Île,regular
4272867,cycleway,lane,regular
4272867,highway,primary,regular
4272867,lit,yes,regular
4272867,name,Boulevard James-Fazy,regular
4272867,oneway,yes,regular
4272868,cycleway,lane,regular
4272868,highway,primary,regular
4272868,lit,yes,regular
4272868,name,Boulevard James-Fazy,regular
4272868,oneway,yes,regular
4272870,left,lane,cycleway
4272870,highway,secondary,regular
4272870,lanes,4,regular
4272870,lit,yes,regular
4272870,name,Rue Voltaire,regular
4272870,ref,109,regular
4272871,cycleway,opposite_lane,regular
4272871,highway,residential,regular
4272871,name,Rue du Mandement,regular
4272871,oneway,yes,regular
4705190,bicycle,yes,regular
4705190,foot,yes,regular
4705190,highway,pedestrian,regular
4705190,name,Pont des Bergues,regular
5032101,highway,secondary,regular
5032101,lanes,4,regular
5032101,maxspeed,50,regular
5032101,name,Avenue Pictet-de-Rochemont,regular
5032101,ref,102,regular
5032357,avz,151,regular
5032357,bridge,yes,regular
5032357,backward,2,cs_dir
5032357,forward,1,cs_dir
5032357,highway,primary,regular
